Punto,Nombre Punto,Ubicación,Consumo kWh,Consumo Base kWh,Eficiencia %,Estado,Fecha
"N6","Cafetería Estudiantil","Edificio de Servicios",22.4,20,112.0,"activo","2026-02-27 07:45:00"
"N2","Aula Magna 101","Edificio Académico",4.78,5.5,86.9,"activo","2026-02-27 07:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",11.32,12,94.3,"activo","2026-02-27 07:45:00"
"N3","Aula Multimedia 202","Edificio Académico",5.28,6,88.0,"activo","2026-02-27 07:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.95,12,91.3,"activo","2026-02-27 07:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",48.17,50,96.3,"activo","2026-02-27 07:45:00"
"N1","Auditorio Principal","Edificio Cultural",16.1,15.5,103.9,"activo","2026-02-27 07:45:00"
"N7","Centro de Datos","Edificio Tecnológico",63.55,60,105.9,"activo","2026-02-27 07:45:00"
"N1","Auditorio Principal","Edificio Cultural",17.62,15.5,113.7,"activo","2026-02-27 06:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",59.41,50,118.8,"activo","2026-02-27 06:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",11.46,11.5,99.7,"activo","2026-02-27 06:45:00"
"N7","Centro de Datos","Edificio Tecnológico",61.46,60,102.4,"activo","2026-02-27 06:45:00"
"N3","Aula Multimedia 202","Edificio Académico",5.4,6,90.0,"activo","2026-02-27 06:45:00"
"N8","Estacionamiento Techado","Área Externa",2.06,2.5,82.4,"activo","2026-02-27 06:45:00"
"N2","Aula Magna 101","Edificio Académico",5.49,5.5,99.8,"activo","2026-02-27 06:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",20.98,20,104.9,"activo","2026-02-27 06:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",9.82,12,81.8,"activo","2026-02-27 06:45:00"
"N5","Biblioteca Central","Edificio de Servicios",13.22,12,110.2,"activo","2026-02-27 06:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.74,4.8,98.8,"activo","2026-02-27 06:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",12.43,15,82.9,"activo","2026-02-27 06:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",19.39,20,97.0,"activo","2026-02-27 05:45:00"
"N7","Centro de Datos","Edificio Tecnológico",51.77,60,86.3,"activo","2026-02-27 05:45:00"
"N1","Auditorio Principal","Edificio Cultural",17.98,15.5,116.0,"activo","2026-02-27 05:45:00"
"N8","Estacionamiento Techado","Área Externa",2.41,2.5,96.4,"activo","2026-02-27 05:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",12.59,15,83.9,"activo","2026-02-27 05:45:00"
"N2","Aula Magna 101","Edificio Académico",5.46,5.5,99.3,"activo","2026-02-27 05:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",13.31,12,110.9,"activo","2026-02-27 05:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",48.83,50,97.7,"activo","2026-02-27 05:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.26,11.5,80.5,"activo","2026-02-27 05:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.45,12,87.1,"activo","2026-02-27 05:45:00"
"N3","Aula Multimedia 202","Edificio Académico",5.21,6,86.8,"activo","2026-02-27 05:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.23,4.8,109.0,"activo","2026-02-27 05:45:00"
"N1","Auditorio Principal","Edificio Cultural",14.61,15.5,94.3,"activo","2026-02-27 04:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",11.22,12,93.5,"activo","2026-02-27 04:45:00"
"N5","Biblioteca Central","Edificio de Servicios",9.72,12,81.0,"activo","2026-02-27 04:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",43.01,50,86.0,"activo","2026-02-27 04:45:00"
"N7","Centro de Datos","Edificio Tecnológico",50.23,60,83.7,"activo","2026-02-27 04:45:00"
"N4","Aula Virtual 303","Edificio Académico",3.91,4.8,81.5,"activo","2026-02-27 04:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",0,11.5,0.0,"error","2026-02-27 04:45:00"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"error","2026-02-27 04:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",17.73,15,118.2,"activo","2026-02-27 04:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",21.34,20,106.7,"activo","2026-02-27 04:45:00"
"N3","Aula Multimedia 202","Edificio Académico",4.8,6,80.0,"activo","2026-02-27 04:45:00"
"N8","Estacionamiento Techado","Área Externa",2.59,2.5,103.6,"activo","2026-02-27 04:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",11.59,11.5,100.8,"activo","2026-02-27 03:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",14.84,15,98.9,"activo","2026-02-27 03:45:00"
"N2","Aula Magna 101","Edificio Académico",5.78,5.5,105.1,"activo","2026-02-27 03:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",16.22,20,81.1,"activo","2026-02-27 03:45:00"
"N8","Estacionamiento Techado","Área Externa",2.03,2.5,81.2,"activo","2026-02-27 03:45:00"
"N7","Centro de Datos","Edificio Tecnológico",68.97,60,115.0,"activo","2026-02-27 03:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",48.63,50,97.3,"activo","2026-02-27 03:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.1,12,84.2,"activo","2026-02-27 03:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",10.88,12,90.7,"activo","2026-02-27 03:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.09,4.8,85.2,"activo","2026-02-27 03:45:00"
"N1","Auditorio Principal","Edificio Cultural",15.74,15.5,101.5,"activo","2026-02-27 03:45:00"
"N3","Aula Multimedia 202","Edificio Académico",4.84,6,80.7,"activo","2026-02-27 03:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",12.71,11.5,110.5,"activo","2026-02-27 02:45:00"
"N8","Estacionamiento Techado","Área Externa",2.56,2.5,102.4,"activo","2026-02-27 02:45:00"
"N5","Biblioteca Central","Edificio de Servicios",14.05,12,117.1,"activo","2026-02-27 02:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",11.38,12,94.8,"activo","2026-02-27 02:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",23.74,20,118.7,"activo","2026-02-27 02:45:00"
"N1","Auditorio Principal","Edificio Cultural",14.46,15.5,93.3,"activo","2026-02-27 02:45:00"
"N7","Centro de Datos","Edificio Tecnológico",64.4,60,107.3,"activo","2026-02-27 02:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",46.06,50,92.1,"activo","2026-02-27 02:45:00"
"N2","Aula Magna 101","Edificio Académico",6.59,5.5,119.8,"activo","2026-02-27 02:45:00"
"N3","Aula Multimedia 202","Edificio Académico",6.28,6,104.7,"activo","2026-02-27 02:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.11,4.8,106.5,"activo","2026-02-27 02:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",17.65,15,117.7,"activo","2026-02-27 02:45:00"
"N2","Aula Magna 101","Edificio Académico",4.62,5.5,84.0,"activo","2026-02-27 01:45:00"
"N7","Centro de Datos","Edificio Tecnológico",69.72,60,116.2,"activo","2026-02-27 01:45:00"
"N3","Aula Multimedia 202","Edificio Académico",5.01,6,83.5,"activo","2026-02-27 01:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.21,11.5,80.1,"activo","2026-02-27 01:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",14.61,15,97.4,"activo","2026-02-27 01:45:00"
"N5","Biblioteca Central","Edificio de Servicios",11.74,12,97.8,"activo","2026-02-27 01:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.15,4.8,107.3,"activo","2026-02-27 01:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",42.76,50,85.5,"activo","2026-02-27 01:45:00"
"N8","Estacionamiento Techado","Área Externa",2.7,2.5,108.0,"activo","2026-02-27 01:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",13.44,12,112.0,"activo","2026-02-27 01:45:00"
"N1","Auditorio Principal","Edificio Cultural",17.31,15.5,111.7,"activo","2026-02-27 01:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",18.26,20,91.3,"activo","2026-02-27 01:45:00"
"N8","Estacionamiento Techado","Área Externa",2.08,2.5,83.2,"activo","2026-02-27 00:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",11.2,12,93.3,"activo","2026-02-27 00:45:00"
"N7","Centro de Datos","Edificio Tecnológico",58.81,60,98.0,"activo","2026-02-27 00:45:00"
"N1","Auditorio Principal","Edificio Cultural",15.34,15.5,99.0,"activo","2026-02-27 00:45:00"
"N2","Aula Magna 101","Edificio Académico",5.8,5.5,105.5,"activo","2026-02-27 00:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",12.22,11.5,106.3,"activo","2026-02-27 00:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",16.7,20,83.5,"activo","2026-02-27 00:45:00"
"N3","Aula Multimedia 202","Edificio Académico",4.84,6,80.7,"activo","2026-02-27 00:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",17.18,15,114.5,"activo","2026-02-27 00:45:00"
"N5","Biblioteca Central","Edificio de Servicios",9.91,12,82.6,"activo","2026-02-27 00:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",55,50,110.0,"activo","2026-02-27 00:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.6,4.8,116.7,"activo","2026-02-27 00:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.57,4.8,95.2,"activo","2026-02-26 23:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",9.69,12,80.8,"activo","2026-02-26 23:45:00"
"N7","Centro de Datos","Edificio Tecnológico",49.07,60,81.8,"activo","2026-02-26 23:45:00"
"N8","Estacionamiento Techado","Área Externa",2.03,2.5,81.2,"activo","2026-02-26 23:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",13.09,15,87.3,"activo","2026-02-26 23:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",21.36,20,106.8,"activo","2026-02-26 23:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",51.72,50,103.4,"activo","2026-02-26 23:45:00"
"N1","Auditorio Principal","Edificio Cultural",14.29,15.5,92.2,"activo","2026-02-26 23:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",10.04,11.5,87.3,"activo","2026-02-26 23:45:00"
"N2","Aula Magna 101","Edificio Académico",4.61,5.5,83.8,"activo","2026-02-26 23:45:00"
"N3","Aula Multimedia 202","Edificio Académico",5.28,6,88.0,"activo","2026-02-26 23:45:00"
"N5","Biblioteca Central","Edificio de Servicios",14.33,12,119.4,"activo","2026-02-26 23:45:00"
"N1","Auditorio Principal","Edificio Cultural",17.67,15.5,114.0,"activo","2026-02-26 22:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",19.93,20,99.6,"activo","2026-02-26 22:45:00"
"N3","Aula Multimedia 202","Edificio Académico",5.64,6,94.0,"activo","2026-02-26 22:45:00"
"N5","Biblioteca Central","Edificio de Servicios",11,12,91.7,"activo","2026-02-26 22:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.96,4.8,103.3,"activo","2026-02-26 22:45:00"
"N7","Centro de Datos","Edificio Tecnológico",56.68,60,94.5,"activo","2026-02-26 22:45:00"
"N8","Estacionamiento Techado","Área Externa",2.13,2.5,85.2,"activo","2026-02-26 22:45:00"
"N2","Aula Magna 101","Edificio Académico",4.65,5.5,84.5,"activo","2026-02-26 22:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",16.54,15,110.3,"activo","2026-02-26 22:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",11.65,11.5,101.3,"activo","2026-02-26 22:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",12.73,12,106.1,"activo","2026-02-26 22:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",42.75,50,85.5,"activo","2026-02-26 22:45:00"
"N2","Aula Magna 101","Edificio Académico",5.69,5.5,103.5,"activo","2026-02-26 21:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",13.71,12,114.3,"activo","2026-02-26 21:45:00"
"N3","Aula Multimedia 202","Edificio Académico",7.03,6,117.2,"activo","2026-02-26 21:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",12.96,15,86.4,"activo","2026-02-26 21:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",17.54,20,87.7,"activo","2026-02-26 21:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.08,12,84.0,"activo","2026-02-26 21:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",40.27,50,80.5,"activo","2026-02-26 21:45:00"
"N8","Estacionamiento Techado","Área Externa",2.88,2.5,115.2,"activo","2026-02-26 21:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.37,11.5,81.5,"activo","2026-02-26 21:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.3,4.8,89.6,"activo","2026-02-26 21:45:00"
"N1","Auditorio Principal","Edificio Cultural",12.52,15.5,80.8,"activo","2026-02-26 21:45:00"
"N7","Centro de Datos","Edificio Tecnológico",61.85,60,103.1,"activo","2026-02-26 21:45:00"
"N1","Auditorio Principal","Edificio Cultural",17.11,15.5,110.4,"activo","2026-02-26 20:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.32,11.5,81.0,"activo","2026-02-26 20:45:00"
"N2","Aula Magna 101","Edificio Académico",4.78,5.5,86.9,"activo","2026-02-26 20:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",10,12,83.3,"activo","2026-02-26 20:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.86,12,107.2,"activo","2026-02-26 20:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",19.23,20,96.2,"activo","2026-02-26 20:45:00"
"N7","Centro de Datos","Edificio Tecnológico",60.83,60,101.4,"activo","2026-02-26 20:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",40.74,50,81.5,"activo","2026-02-26 20:45:00"
"N8","Estacionamiento Techado","Área Externa",2.09,2.5,83.6,"activo","2026-02-26 20:45:00"
"N3","Aula Multimedia 202","Edificio Académico",7.15,6,119.2,"activo","2026-02-26 20:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",12.75,15,85.0,"activo","2026-02-26 20:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.83,4.8,100.6,"activo","2026-02-26 20:45:00"
"N3","Aula Multimedia 202","Edificio Académico",6.93,6,115.5,"activo","2026-02-26 19:45:00"
"N1","Auditorio Principal","Edificio Cultural",12.49,15.5,80.6,"activo","2026-02-26 19:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",10.4,12,86.7,"activo","2026-02-26 19:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.7,4.8,118.8,"activo","2026-02-26 19:45:00"
"N8","Estacionamiento Techado","Área Externa",2.3,2.5,92.0,"activo","2026-02-26 19:45:00"
"N7","Centro de Datos","Edificio Tecnológico",65.28,60,108.8,"activo","2026-02-26 19:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",15.44,15,102.9,"activo","2026-02-26 19:45:00"
"N2","Aula Magna 101","Edificio Académico",5.94,5.5,108.0,"activo","2026-02-26 19:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",49.27,50,98.5,"activo","2026-02-26 19:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",18.69,20,93.5,"activo","2026-02-26 19:45:00"
"N5","Biblioteca Central","Edificio de Servicios",13.41,12,111.8,"activo","2026-02-26 19:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.77,11.5,85.0,"activo","2026-02-26 19:45:00"
"N7","Centro de Datos","Edificio Tecnológico",51.11,60,85.2,"activo","2026-02-26 18:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",13.93,12,116.1,"activo","2026-02-26 18:45:00"
"N3","Aula Multimedia 202","Edificio Académico",5.34,6,89.0,"activo","2026-02-26 18:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",13.1,15,87.3,"activo","2026-02-26 18:45:00"
"N2","Aula Magna 101","Edificio Académico",5.98,5.5,108.7,"activo","2026-02-26 18:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.99,12,108.3,"activo","2026-02-26 18:45:00"
"N1","Auditorio Principal","Edificio Cultural",14.05,15.5,90.6,"activo","2026-02-26 18:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",10.8,11.5,93.9,"activo","2026-02-26 18:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.72,4.8,119.2,"activo","2026-02-26 18:45:00"
"N8","Estacionamiento Techado","Área Externa",2.4,2.5,96.0,"activo","2026-02-26 18:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",41.87,50,83.7,"activo","2026-02-26 18:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",16.76,20,83.8,"activo","2026-02-26 18:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",12.29,15,81.9,"activo","2026-02-26 17:45:00"
"N1","Auditorio Principal","Edificio Cultural",13.5,15.5,87.1,"activo","2026-02-26 17:45:00"
"N8","Estacionamiento Techado","Área Externa",2.86,2.5,114.4,"activo","2026-02-26 17:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",23.71,20,118.5,"activo","2026-02-26 17:45:00"
"N7","Centro de Datos","Edificio Tecnológico",65.86,60,109.8,"activo","2026-02-26 17:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.88,12,90.7,"activo","2026-02-26 17:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.93,11.5,86.3,"activo","2026-02-26 17:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",13.47,12,112.3,"activo","2026-02-26 17:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.41,4.8,112.7,"activo","2026-02-26 17:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",49.18,50,98.4,"activo","2026-02-26 17:45:00"
"N2","Aula Magna 101","Edificio Académico",4.41,5.5,80.2,"activo","2026-02-26 17:45:00"
"N3","Aula Multimedia 202","Edificio Académico",6.72,6,112.0,"activo","2026-02-26 17:45:00"
"N2","Aula Magna 101","Edificio Académico",5.37,5.5,97.6,"activo","2026-02-26 16:45:00"
"N8","Estacionamiento Techado","Área Externa",2.98,2.5,119.2,"activo","2026-02-26 16:45:00"
"N1","Auditorio Principal","Edificio Cultural",15.4,15.5,99.4,"activo","2026-02-26 16:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",50.95,50,101.9,"activo","2026-02-26 16:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",17.32,15,115.5,"activo","2026-02-26 16:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.43,4.8,113.1,"activo","2026-02-26 16:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",12.72,11.5,110.6,"activo","2026-02-26 16:45:00"
"N3","Aula Multimedia 202","Edificio Académico",7.11,6,118.5,"activo","2026-02-26 16:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",11.3,12,94.2,"activo","2026-02-26 16:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",18.37,20,91.9,"activo","2026-02-26 16:45:00"
"N7","Centro de Datos","Edificio Tecnológico",61.3,60,102.2,"activo","2026-02-26 16:45:00"
"N5","Biblioteca Central","Edificio de Servicios",14.1,12,117.5,"activo","2026-02-26 16:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.62,4.8,96.3,"activo","2026-02-26 15:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",10.4,12,86.7,"activo","2026-02-26 15:45:00"
"N7","Centro de Datos","Edificio Tecnológico",52.24,60,87.1,"activo","2026-02-26 15:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",18.57,20,92.8,"activo","2026-02-26 15:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",10.06,11.5,87.5,"activo","2026-02-26 15:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",54.66,50,109.3,"activo","2026-02-26 15:45:00"
"N1","Auditorio Principal","Edificio Cultural",13.51,15.5,87.2,"activo","2026-02-26 15:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.43,12,86.9,"activo","2026-02-26 15:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",16.83,15,112.2,"activo","2026-02-26 15:45:00"
"N2","Aula Magna 101","Edificio Académico",6.58,5.5,119.6,"activo","2026-02-26 15:45:00"
"N3","Aula Multimedia 202","Edificio Académico",6.22,6,103.7,"activo","2026-02-26 15:45:00"
"N8","Estacionamiento Techado","Área Externa",2.24,2.5,89.6,"activo","2026-02-26 15:45:00"
"N3","Aula Multimedia 202","Edificio Académico",5.35,6,89.2,"activo","2026-02-26 14:45:00"
"N8","Estacionamiento Techado","Área Externa",2.61,2.5,104.4,"activo","2026-02-26 14:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",14.02,15,93.5,"activo","2026-02-26 14:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",59.96,50,119.9,"activo","2026-02-26 14:45:00"
"N5","Biblioteca Central","Edificio de Servicios",12.37,12,103.1,"activo","2026-02-26 14:45:00"
"N7","Centro de Datos","Edificio Tecnológico",66.91,60,111.5,"activo","2026-02-26 14:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",22.59,20,112.9,"activo","2026-02-26 14:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",12.17,11.5,105.8,"activo","2026-02-26 14:45:00"
"N4","Aula Virtual 303","Edificio Académico",5.76,4.8,120.0,"activo","2026-02-26 14:45:00"
"N2","Aula Magna 101","Edificio Académico",6.57,5.5,119.5,"activo","2026-02-26 14:45:00"
"N1","Auditorio Principal","Edificio Cultural",13.17,15.5,85.0,"activo","2026-02-26 14:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",11.54,12,96.2,"activo","2026-02-26 14:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",46.73,50,93.5,"activo","2026-02-26 13:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",17.54,15,116.9,"activo","2026-02-26 13:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",10.44,11.5,90.8,"activo","2026-02-26 13:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.01,12,83.4,"activo","2026-02-26 13:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.27,4.8,89.0,"activo","2026-02-26 13:45:00"
"N1","Auditorio Principal","Edificio Cultural",17.76,15.5,114.6,"activo","2026-02-26 13:45:00"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"error","2026-02-26 13:45:00"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",13.12,12,109.3,"activo","2026-02-26 13:45:00"
"N2","Aula Magna 101","Edificio Académico",6.26,5.5,113.8,"activo","2026-02-26 13:45:00"
"N7","Centro de Datos","Edificio Tecnológico",65.67,60,109.5,"activo","2026-02-26 13:45:00"
"N3","Aula Multimedia 202","Edificio Académico",6.61,6,110.2,"activo","2026-02-26 13:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",21.83,20,109.1,"activo","2026-02-26 13:45:00"
"N8","Estacionamiento Techado","Área Externa",2.12,2.5,84.8,"activo","2026-02-26 12:45:00"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",10.53,11.5,91.6,"activo","2026-02-26 12:45:00"
"N10","Sala de Servidores","Edificio Tecnológico",45.82,50,91.6,"activo","2026-02-26 12:45:00"
"N6","Cafetería Estudiantil","Edificio de Servicios",21.29,20,106.5,"activo","2026-02-26 12:45:00"
"N7","Centro de Datos","Edificio Tecnológico",51.17,60,85.3,"activo","2026-02-26 12:45:00"
"N9","Gimnasio Deportivo","Edificio Deportivo",12.29,15,81.9,"activo","2026-02-26 12:45:00"
"N5","Biblioteca Central","Edificio de Servicios",10.68,12,89.0,"activo","2026-02-26 12:45:00"
"N4","Aula Virtual 303","Edificio Académico",4.37,4.8,91.0,"activo","2026-02-26 12:45:00"
"N2","Aula Magna 101","Edificio Académico",5.25,5.5,95.5,"activo","2026-02-26 12:45:00"
"N1","Auditorio Principal","Edificio Cultural",17.74,15.5,114.5,"activo","2026-02-26 12:45:00"
