Punto,Nombre Punto,Ubicación,Consumo kWh,Consumo Base kWh,Eficiencia %,Estado,Fecha
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:19:37.407Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:19:37.407Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:19:37.407Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",13.03,11.5,113.3,"activo","2026-02-12T22:19:27.405Z"
"N5","Biblioteca Central","Edificio de Servicios",14.27,12,118.9,"activo","2026-02-12T22:19:27.405Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:19:27.405Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:19:17.404Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",13.22,11.5,115.0,"activo","2026-02-12T22:19:17.404Z"
"N5","Biblioteca Central","Edificio de Servicios",10.99,12,91.6,"activo","2026-02-12T22:19:17.404Z"
"N5","Biblioteca Central","Edificio de Servicios",12.62,12,105.2,"activo","2026-02-12T22:19:07.402Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.57,11.5,83.2,"activo","2026-02-12T22:19:07.402Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:19:07.402Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N5","Biblioteca Central","Edificio de Servicios",13.24,12,110.3,"activo","2026-02-12T22:18:57.401Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",11.22,11.5,97.6,"activo","2026-02-12T22:18:57.401Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:18:57.401Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",12.17,11.5,105.8,"activo","2026-02-12T22:18:47.399Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N5","Biblioteca Central","Edificio de Servicios",11.14,12,92.8,"activo","2026-02-12T22:18:47.399Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:18:47.399Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",12.75,11.5,110.9,"activo","2026-02-12T22:18:37.398Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N5","Biblioteca Central","Edificio de Servicios",11.88,12,99.0,"activo","2026-02-12T22:18:37.398Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:18:37.398Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N5","Biblioteca Central","Edificio de Servicios",11.65,12,97.1,"activo","2026-02-12T22:18:27.396Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:18:27.396Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.59,11.5,83.4,"activo","2026-02-12T22:18:27.396Z"
"N5","Biblioteca Central","Edificio de Servicios",13.93,12,116.1,"activo","2026-02-12T22:18:17.395Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",12.33,11.5,107.2,"activo","2026-02-12T22:18:17.395Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:18:17.395Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N5","Biblioteca Central","Edificio de Servicios",11.45,12,95.4,"activo","2026-02-12T22:18:07.393Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",11.46,11.5,99.7,"activo","2026-02-12T22:18:07.393Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:18:07.393Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N5","Biblioteca Central","Edificio de Servicios",12.71,12,105.9,"activo","2026-02-12T22:17:57.391Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.98,11.5,86.8,"activo","2026-02-12T22:17:57.391Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:17:57.391Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",11.26,11.5,97.9,"activo","2026-02-12T22:17:47.390Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N5","Biblioteca Central","Edificio de Servicios",9.85,12,82.1,"activo","2026-02-12T22:17:47.390Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:17:47.390Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N5","Biblioteca Central","Edificio de Servicios",12.24,12,102.0,"activo","2026-02-12T22:17:37.388Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",11,11.5,95.7,"activo","2026-02-12T22:17:37.388Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:17:37.388Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",9.56,11.5,83.1,"activo","2026-02-12T22:17:27.386Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N5","Biblioteca Central","Edificio de Servicios",10.78,12,89.8,"activo","2026-02-12T22:17:27.386Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:17:27.386Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",10.43,11.5,90.7,"activo","2026-02-12T22:17:17.384Z"
"N5","Biblioteca Central","Edificio de Servicios",10.28,12,85.7,"activo","2026-02-12T22:17:17.384Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N8","Estacionamiento Techado","Área Externa",0,2.5,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N4","Aula Virtual 303","Edificio Académico",0,4.8,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N2","Aula Magna 101","Edificio Académico",0,5.5,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:17:17.384Z"
"N12","Laboratorio de Cómputo B","Edificio de Ingeniería",13.16,11.5,114.4,"activo","2026-02-12T22:17:07.382Z"
"N3","Aula Multimedia 202","Edificio Académico",0,6,0.0,"inactivo","2026-02-12T22:17:07.382Z"
"N6","Cafetería Estudiantil","Edificio de Servicios",0,20,0.0,"inactivo","2026-02-12T22:17:07.382Z"
"N11","Laboratorio de Cómputo A","Edificio de Ingeniería",0,12,0.0,"inactivo","2026-02-12T22:17:07.382Z"
"N10","Sala de Servidores","Edificio Tecnológico",0,50,0.0,"inactivo","2026-02-12T22:17:07.382Z"
"N9","Gimnasio Deportivo","Edificio Deportivo",0,15,0.0,"inactivo","2026-02-12T22:17:07.382Z"
"N1","Auditorio Principal","Edificio Cultural",0,15.5,0.0,"inactivo","2026-02-12T22:17:07.382Z"
"N7","Centro de Datos","Edificio Tecnológico",0,60,0.0,"inactivo","2026-02-12T22:17:07.382Z"
